Name,Business Description,Category,Zoning,DataParsing.Address,Neighbourhood,Neighbourhood ID,Latitude,Longitude,Point
PANDA FLOWERS TERRA LOSA,Floral Shop - Flower Arrangements Gift Baskets - Alcohol Sales (Off Premises),Alcohol Sales (Consumption Off Premises) Minor Retail Store,DC1,9772 - 170 STREET NW,TERRA LOSA,4540,53.53368902818615,-113.6173859,POINT (-113.617385892975 53.533689028186)
CENTURY PARK CELLARS,Boutique liquor beer & wine store,Alcohol Sales (Consumption Off Premises),DC2 DC2,2349 - 111 STREET NW,ERMINESKIN,5180,53.45506271846815,-113.5144465,POINT (-113.514446548778 53.455062718468)
EASY LIQUOR INC.,Liqour store,Alcohol Sales (Consumption Off Premises),CB2,4938 - 98 AVENUE NW,EASTGATE BUSINESS PARK,6180,53.537953843977164,-113.4161968,POINT (-113.416196826788 53.537953843977)
RIVIERA LIQUOR STORE,Liquor Store,Alcohol Sales (Consumption Off Premises),DC2,5359 - CALGARY TRAIL NW,CALGARY TRAIL NORTH,5110,53.49158010886536,-113.4932843,POINT (-113.493284252507 53.491580108865)
LIQUOR TODAY,Liquor store,Alcohol Sales (Consumption Off Premises),IB,16618 - 109 AVENUE NW,WEST SHEFFIELD INDUSTRIAL,4600,53.556335002610204,-113.60631,POINT (-113.606309982085 53.55633500261)
KINGSWAY LIQUOR & WINE,Retail Liquor Store,Alcohol Sales (Consumption Off Premises),CB2,11 10175 - 186 STREET NW,SUNWAPTA INDUSTRIAL,4530,53.542393644499306,-113.6445125,POINT (-113.644512505642 53.542393644499)
STAYNER LIQUOR,LIQUOR STORE,Alcohol Sales (Consumption Off Premises),CSC,13819 - 127 STREET NW,BARANOW,3020,53.60148334055346,-113.539641,POINT (-113.539641030508 53.601483340553)
PARKWEST LIQUOR LOFT,Liquor Store,Alcohol Sales (Consumption Off Premises),DC2 DC2,18916 - 87 AVENUE NW,BELMEAD,4040,53.521772480878454,-113.6501581,POINT (-113.650158078999 53.521772480878)
66 LIQUOR ISLAND,A Liquor Store,Alcohol Sales (Consumption Off Premises),DC2,6721 - ELLERSLIE ROAD SW,SUMMERSIDE,6213,53.42426055467834,-113.444737,POINT (-113.444736997902 53.424260554678)
CROWN LIQUOR STORE,,Alcohol Sales (Consumption Off Premises),CSC,14626 - 50 STREET NW,CASSELMAN,2130,53.609162632731426,-113.4182286,POINT (-113.418228562652 53.609162632731)
LIQUOR BAY,Liquor sales,Alcohol Sales (Consumption Off Premises),CB1,9104 - 75 STREET NW,HOLYROOD,6310,53.52571535143124,-113.4437732,POINT (-113.443773194977 53.525715351431)
ACE LIQUOR DISCOUNTER AT MILLWOODS,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,1503 - 50 STREET NW,CRAWFORD PLAINS,6140,53.444864465011726,-113.4182924,POINT (-113.418292357256 53.444864465012)
GRAND WINES AND LIQUORS,export and import wine and food wholesale. admin office only,Alcohol Sales (Consumption Off Premises) Minor Retail Store,IM,3 9804 - 47 AVENUE NW,PAPASCHASE INDUSTRIAL,6560,53.48561646081725,-113.4827001,POINT (-113.482700053881 53.485616460817)
LIQUOR DEPOT AT BONNIE DOON,Liquor Store,Alcohol Sales (Consumption Off Premises),DC2,187 1 - BONNIE DOON SHOPPING CENTRE NW,BONNIE DOON,6040,53.52086348901903,-113.4568522,POINT (-113.456852217522 53.520863489019)
ACE LIQUOR DISCOUNTER AT GROAT ROAD WESTMOUNT,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,13366 - 114 AVENUE NW,WOODCROFT,3450,53.56409242518592,-113.5521916,POINT (-113.552191571246 53.564092425186)
ACE LIQUOR DISCOUNTER AT MAGRATH,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC CSC,14175 - 23 AVENUE NW,MAGRATH HEIGHTS,5476,53.45305343251444,-113.5644125,POINT (-113.564412535082 53.453053432514)
LIQUOR DEPOT AT 99TH STREET,Liquor Store,Alcohol Sales (Consumption Off Premises),DC2 CB2,8169 - 99 STREET NW,RITCHIE,6610,53.51773589281352,-113.4855281,POINT (-113.485528109859 53.517735892814)
ACE LIQUOR DISCOUNTER AT TAMARACK,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,3755 - 17 STREET NW,TAMARACK,6443,53.47590267150821,-113.3665941,POINT (-113.366594140453 53.475902671508)
SOBEYS SPIRITS WINE COLD BEER - LEWIS ESTATES,Liquor Store,Alcohol Sales (Consumption Off Premises) Minor Retail Store,DC1,1026 - WEBBER GREENS DRIVE NW,SUDER GREENS,4730,53.52491543024885,-113.6690168,POINT (-113.669016792391 53.524915430249)
SOUTHTRAIL ACE LIQUOR DISCOUNTER,Liquor Store,Alcohol Sales (Consumption Off Premises),DC2 DC2,3345 - CALGARY TRAIL NW,CALGARY TRAIL SOUTH,5120,53.46613804839504,-113.493912,POINT (-113.493912012292 53.466138048395)
SOMMELIER SELECT LIQUOR STORE,Retail liquor storetasting bar,Alcohol Sales (Consumption Off Premises),CB1,2041 - 163 STREET SW,GLENRIDDING RAVINE,5579,53.41557989948735,-113.6012983,POINT (-113.601298302002 53.415579899487)
S.C. WINE INC.,Wine importer we do not sell or store wines in the office.,Alcohol Sales (Consumption Off Premises),EIB,302 1230 - 91 STREET SW,ELLERSLIE INDUSTRIAL,6214,53.42225436227336,-113.47637,POINT (-113.476370038254 53.422254362273)
MY LIQUOR STORE,Liquor store,Alcohol Sales (Consumption Off Premises),CB1,12411 - 107 AVENUE NW,WESTMOUNT,3440,53.55071695732533,-113.5364121,POINT (-113.53641214623 53.550716957325)
ACE LIQUOR DISCOUNTER AT ELLERSLIE,liquor store,Alcohol Sales (Consumption Off Premises),CSC,11146 - ELLERSLIE ROAD SW,MACEWAN,5452,53.42589616,-113.5186214,POINT (-113.518621444823 53.425896156142)
ACE LIQUOR DISCOUNTER AT WEST GRANVILLE,Liquor Store,Alcohol Sales (Consumption Off Premises),DC2 DC1,7209 - WINTERBURN ROAD NW,GRANVILLE,4551,53.50712581530484,-113.6868107,POINT (-113.686810680041 53.507125815305)
CLAREVIEW LIQUOR,Liquor Store,Alcohol Sales (Consumption Off Premises),CB2,8 13750 - 50 STREET NW,CLAREVIEW TOWN CENTRE,2145,53.59864452477074,-113.4144678,POINT (-113.414467790658 53.598644524771)
LIQUOR DEPOT AT CAPILANO #593,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,180 5055 - 101 AVENUE NW,OTTEWELL,6550,53.539384736623305,-113.4216447,POINT (-113.421644728098 53.539384736623)
BOSS LIQUOR,Minor alcohol sales,Alcohol Sales (Consumption Off Premises),DC2,1531 - LAKEWOOD ROAD WEST NW,MEYONOHK,6470,53.458163926108995,-113.4609673,POINT (-113.460967302269 53.458163926109)
WILDROSE LIQUOR,,Alcohol Sales (Consumption Off Premises),CB1,10680 - 156 STREET NW,BRITANNIA YOUNGSTOWN,4060,53.55078443989205,-113.5908714,POINT (-113.590871371546 53.550784439892)
VALLEY LIQUOR HOUSE,Liquor Store,Alcohol Sales (Consumption Off Premises),UW,10824 - 102 AVENUE NW,DOWNTOWN,1090,53.543263707057065,-113.5078755,POINT (-113.507875504272 53.543263707057)
LIQUOR 23 LTD.,Liquor store,Alcohol Sales (Consumption Off Premises),CSC,2330 - 23 AVENUE NW,SILVER BERRY,6442,53.45478513372155,-113.3759378,POINT (-113.375937765029 53.454785133722)
ACE LIQUOR DISCOUNTER AT ALBANY SQUARE,retail liquor store selling beer wine and spirits,Alcohol Sales (Consumption Off Premises),CSC,16710 - 127 STREET NW,ALBANY,3460,53.629687555608626,-113.5444563,POINT (-113.544456315302 53.629687555609)
SHOP RITE LIQUOR,Operate a liquor store,Alcohol Sales (Consumption Off Premises),CB1,11447 - 124 STREET NW,INGLEWOOD,3240,53.56507785728897,-113.5354212,POINT (-113.535421196619 53.565077857289)
LIQUOR HOUSE,Liquor Store,Alcohol Sales (Consumption Off Premises),CB1,16220 - ELLERSLIE ROAD SW,AMBLESIDE,5505,53.42432020313258,-113.6041672,POINT (-113.604167226747 53.424320203133)
SUPER VALUE LIQUOR,Retail Liquor Store,Alcohol Sales (Consumption Off Premises),DC2 DC2,252 - MANNING CROSSING NW,YORK,2720,53.60036436871298,-113.4228612,POINT (-113.42286116103 53.600364368713)
WINE & BEYOND AT MACTAGGART RIDGE #592,Liquor Store,Alcohol Sales (Consumption Off Premises),CSC,5962 - MULLEN WAY NW,MACTAGGART,5477,53.43525373248547,-113.5726153,POINT (-113.572615310972 53.435253732485)
EDMONTON LIQUOR MERCHANTS,Liquor Store,Alcohol Sales (Consumption Off Premises),IB,9855 - 63 AVENUE NW,ROSEDALE INDUSTRIAL,6650,53.49943242918873,-113.4850695,POINT (-113.485069497886 53.499432429189)
CRAFT & CORK LIQUOR STORE,,Alcohol Sales (Consumption Off Premises),CB1,6807 - 170 STREET NW,OLESKIW,4360,53.50316662001095,-113.6140358,POINT (-113.614035829561 53.503166620011)
MENISA LIQUOR,Liquor Store,Alcohol Sales (Consumption Off Premises),DC2,1039 - KNOTTWOOD ROAD EAST NW,MENISA,6450,53.44489067751272,-113.4438695,POINT (-113.443869477577 53.444890677513)
